TP-EFF_580007-checked-ARG-host_cov_col_13	TP-EFF_580007-checked-ARG-host_cov_col_14	YL-AS_578825-checked-ARG-host_cov_col_13	YL-AS_578825-checked-ARG-host_cov_col_14	SWH-AS_577324-checked-ARG-host_cov_col_13	SWH-AS_577324-checked-ARG-host_cov_col_14	SWH-IN_578335-checked-ARG-host_cov_col_13	SWH-IN_578335-checked-ARG-host_cov_col_14	YL-EFF_579475-checked-ARG-host_cov_col_13	YL-EFF_579475-checked-ARG-host_cov_col_14	ST-IN_577286-checked-ARG-host_cov_col_13	ST-IN_577286-checked-ARG-host_cov_col_14	ST-AS_578410-checked-ARG-host_cov_col_13	ST-AS_578410-checked-ARG-host_cov_col_14	SK-IN_578754-checked-ARG-host_cov_col_13	SK-IN_578754-checked-ARG-host_cov_col_14	ST-ADS_579814-checked-ARG-host_cov_col_13	ST-ADS_579814-checked-ARG-host_cov_col_14	TP-IN_577697-checked-ARG-host_cov_col_13	TP-IN_577697-checked-ARG-host_cov_col_14	TP-AS_578565-checked-ARG-host_cov_col_13	TP-AS_578565-checked-ARG-host_cov_col_14	ST-EEF_579967-checked-ARG-host_cov_col_13	ST-EEF_579967-checked-ARG-host_cov_col_14	SWH-EFF_579360-checked-ARG-host_cov_col_13	SWH-EFF_579360-checked-ARG-host_cov_col_14	YL-IN_577304-ARG-host_cov_col_13	YL-IN_577304-ARG-host_cov_col_14	SK-EFF_577737-checked-ARG-host_cov_col_13	SK-EFF_577737-checked-ARG-host_cov_col_14	SWH-ADS_577436-checked-ARG-host_cov_col_13	SWH-ADS_577436-checked-ARG-host_cov_col_14	STL-EFF_577476-checked-ARG-host_cov_col_13	STL-EFF_577476-checked-ARG-host_cov_col_14	STL-AS_579739-checked-ARG-host_cov_col_13	STL-AS_579739-checked-ARG-host_cov_col_14	SK-AS_579852-checked-ARG-host_cov_col_13	SK-AS_579852-checked-ARG-host_cov_col_14	YL-ADS_577288-checked-ARG-host_cov_col_13	YL-ADS_577288-checked-ARG-host_cov_col_14	TP-ADS_743148-checked-ARG-host_cov_col_13	TP-ADS_743148-checked-ARG-host_cov_col_14	STL-IN_578603-checked-ARG-host_cov_col_13	STL-IN_578603-checked-ARG-host_cov_col_14
s__JACKOD01 sp024234505	3.1667032	s__Ottowia sp024235955	14.278298	s__	33.98932239999999	s__Mycobacterium mageritense	14.975817	s__Sphingobium sp020446425	4.8898654	s__	112.1426859	s__Ottowia sp024235955	15.209859	s__Prevotella sp018054505	36.90686	s__	64.8584883	s__	291.65233059999997	s__OLB8 sp001567405	7.858313	s__Mycobacterium senegalense	21.718456	s__	35.303848	s__Phocaeicola vulgatus	13.6310625	s__	158.02897230000002	s__Mycobacterium mageritense	10.7210655	s__Sulfurospirillum sp001548035	7.641061	s__	145.81458880000002	s__Rubrivivax_A sp019635285	11.467354	s__JAGPKJ01 sp018053995	7.5782776	s__	297.495503	s__	159.0809243
s__OLB8 sp001567405	7.3850527	s__	110.0909072			s__Epilithonimonas vandammei	13.301011	s__	1144.4321396	s__Rhodococcus ruber	29.551586	s__Ottowia sp018240925	12.832016	s__Brachymonas sp017993135	4.6534824	s__Ruminococcus flavefaciens_H	4.1127844	s__Aeromonas caviae	47.831646	s__Ottowia sp024235955	21.60578	s__Mycobacterium fortuitum	26.330687	s__Giesbergeria sp010020825	6.027552	s__AWTP1-35 sp003962875	98.177505	s__Giesbergeria sp010020825	6.040316	s__Mycobacterium sp020438785	55.419968	s__	110.2271231	s__OLB8 sp018057925	31.8077	s__Ottowia sp018240925	14.644611	s__Nitrotoga fabula	4.461982	s__Bacteroides_I graminisolvens	5.967759	s__Aeromonas caviae	35.846867
s__	176.25271270000002	s__JADJSS01 sp020636535	22.315086			s__Aeromonas caviae	42.03565	s__Mycobacterium austroafricanum	8.980511	s__Bacteroides uniformis	5.4087653	s__Albidovulum sp024236495	10.757763	s__	95.9044736	s__Ottowia sp024235955	19.05508	s__Ottowia sp024235955	19.20439	s__	55.1535394	s__Nocardia cyriacigeorgica_B	19.79498	s__Rivicola pingtungensis	3.5879507	s__	96.0082395	s__Ottowia sp020848515	6.4096117	s__	95.4413043	s__Rubrivivax_A sp019635285	8.351792	s__OLB8 sp001567405	8.528976	s__CAISIP01 sp016790475	11.384353	s__Comamonas_C sp001724135	24.047213	s__Ottowia sp024235955	24.332603	s__Brachymonas sp018054915	9.005771
s__Mycobacterium insubricum	8.576179	s__Comamonas_C sp001724135	12.658636			s__Macellibacteroides fermentans	8.729218	s__Thiothrix nivea	19.573648	s__Laribacter hongkongensis	4.29158	s__Halioglobus sp024234735	37.685028	s__Mycobacterium mageritense	5.3883886	s__Ottowia sp018240925	18.99598	s__Pseudomonas_E fluvialis	15.488776	s__CAISIP01 sp024236015	6.3620687	s__Mycobacterium sp020438895	17.563961	s__Acinetobacter sp003987695	19.141308	s__Alicycliphilus sp018054745	8.73188	s__Ottowia sp001897615	14.233156	s__UBA1064 sp002316235	98.99359	s__Pseudomonas_E mandelii	60.45951	s__Nitrosomonas sp008015595	21.66713	s__Ottowia sp020848515	24.436747	s__	79.3958242	s__UBA1064 sp002316235	33.243294	s__Rubrivivax_A sp019635285	28.376158
s__Saccharofermentans sp012728275	3.7862039	s__Sphingobium sp020446425	13.148789			s__Saccharofermentans sp022484595	14.906801	s__Giesbergeria sp023954095	10.161659	s__Bacteroides_I graminisolvens	31.345335	s__	41.043709500000006	s__Ottowia beijingensis	18.534418	s__JAMLHW01 sp023954475	233.97746	s__Vibrio fluvialis	18.755556	s__JACKKV01 sp024236235	4.5637684	s__Gordonia sihwensis	6.8357215	s__Thauera aminoaromatica	15.6220255	s__Ottowia sp024235955	12.606475	s__Sphingobium limneticum	210.32246	s__Limiplasma sp023395615	5.527125	s__Phocaeicola vulgatus	5.2374215			s__	88.9797807	s__Giesbergeria sp010020825	21.811094			s__Alicycliphilus sp018054745	29.594336
s__Ottowia sp024235955	15.986609	s__Plasticicumulans sp003962905	89.36404			s__Pseudomonas_E alcaligenes	25.978107	s__Bacteroides_I graminisolvens	4.903226	s__HKST-UBA178 sp020445405	8.064209	s__CAISIP01 sp024236015	5.6228704	s__Neisseria suis	12.295191	s__Methanofastidiosum sp013178285	2.8007803	s__SHZI01 sp024234935	11.351732	s__Thauera sp003963015	47.70822	s__Mycobacterium insubricum	15.101965	s__Skermania piniformis	3.8582745	s__Giesbergeria sp010020825	16.273302	s__Paenibacillus chibensis	5.447721	s__Rubrivivax_A sp019635285	4.526756	s__Pseudomonas_E agarici	6.0135565			s__UBA3362 sp016710235	16.204813	s__OLB10 sp001567275	63.104755			s__Bacteroides_I graminisolvens	10.172118
s__JACKOX01 sp024233975	6.479774	s__OLB8 sp001567405	24.368097			s__Ruminococcus_D bicirculans	4.128931	s__Albidovulum sp024236495	3.7899156	s__Fibro-01 sp001462345	3.0621603	s__JACKPT01 sp024233345	5.2971888	s__Micropruina glycogenica	21.801218			s__OLB8 sp001567405	7.92925	s__JACKPT01 sp024233345	4.234745	s__	103.96315339999998	s__Sphingobium xenophagum	4.3594804	s__Bacteroides_I graminisolvens	22.469048	s__OLB8 sp001567405	9.535238	s__Sedimentibacter sp003483345	7.5245266	s__Aeromonas caviae	13.094265			s__OLB8 sp001567405	134.22235	s__Thiolinea sp020442915	15.460388			s__Nitrosomonas sp008015595	6.7635493
s__JACKEA01 sp020633235	4.7015767	s__Albidovulum sp024236495	18.843988			s__Phocaeicola vulgatus	26.771317	s__Sphingobium yanoikuyae	8.897849	s__Thiothrix nivea	6.265927	s__JAEUMD01 sp020638055	11.2855425	s__Epilithonimonas vandammei	9.309051			s__41T-STBD-0c-01a sp024235395	18.166365	s__JACKQE01 sp024233005	4.2404833	s__Microbacterium sp002313585	12.601441	s__SSSZ01 sp009469685	8.896165	s__Mycobacterium austroafricanum	13.352124	s__Nitrospira_A sp009594855	9.4481	s__UBA1368 sp002305965	7.819028	s__Mycobacterium sp020438785	103.39689			s__SSSZ01 sp009469685	34.111217	s__UBA4844 sp012729715	4.0065956			s__Phocaeicola vulgatus	4.604747
s__VMDK01 sp020635435	3.3489616	s__Thiothrix nivea	34.823933			s__Lachnospira eligens_A	5.9221215	s__UBA5078 sp024234325	4.368305	s__Ottowia sp024235955	9.707648			s__Macellibacteroides fermentans	36.321274			s__JACKQE01 sp024233005	3.7950363	s__Dokdonella sp019634795	3.7470586	s__Mycobacterium sp020438845	41.45783			s__Megamonas funiformis	8.070822	s__Brevibacillus centrosporus	3.322656	s__PHAA01 sp022706565	11.329479	s__Mycobacterium insubricum	24.854836			s__Tabrizicola sp016793705	23.723633	s__Bacteroides_I graminisolvens	3.7110825				
s__JAGOSC01 sp020429915	4.2544127	s__CAISIP01 sp024236015	6.5814366			s__	33.0265555	s__Thiolinea sp020442915	42.08521	s__Ottowia sp018240925	8.93816			s__JAGPMH01 sp018052945	30.88196			s__Lachnospira eligens_A	6.0807347			s__JAEUMD01 sp020638055	9.572015			s__Aeromonas caviae	108.66003			s__Giesbergeria sp010020825	6.8159914	s__Piscinibacter sp017983795	15.732979			s__Thauera aminoaromatica	11.876775	s__UBA1413 sp012729335	13.445786				
