TP-EFF_580007-checked-ARG-host_cov_col_7	TP-EFF_580007-checked-ARG-host_cov_col_8	YL-AS_578825-checked-ARG-host_cov_col_7	YL-AS_578825-checked-ARG-host_cov_col_8	SWH-AS_577324-checked-ARG-host_cov_col_7	SWH-AS_577324-checked-ARG-host_cov_col_8	SWH-IN_578335-checked-ARG-host_cov_col_7	SWH-IN_578335-checked-ARG-host_cov_col_8	YL-EFF_579475-checked-ARG-host_cov_col_7	YL-EFF_579475-checked-ARG-host_cov_col_8	ST-IN_577286-checked-ARG-host_cov_col_7	ST-IN_577286-checked-ARG-host_cov_col_8	ST-AS_578410-checked-ARG-host_cov_col_7	ST-AS_578410-checked-ARG-host_cov_col_8	SK-IN_578754-checked-ARG-host_cov_col_7	SK-IN_578754-checked-ARG-host_cov_col_8	ST-ADS_579814-checked-ARG-host_cov_col_7	ST-ADS_579814-checked-ARG-host_cov_col_8	TP-IN_577697-checked-ARG-host_cov_col_7	TP-IN_577697-checked-ARG-host_cov_col_8	TP-AS_578565-checked-ARG-host_cov_col_7	TP-AS_578565-checked-ARG-host_cov_col_8	ST-EEF_579967-checked-ARG-host_cov_col_7	ST-EEF_579967-checked-ARG-host_cov_col_8	SWH-EFF_579360-checked-ARG-host_cov_col_7	SWH-EFF_579360-checked-ARG-host_cov_col_8	YL-IN_577304-ARG-host_cov_col_7	YL-IN_577304-ARG-host_cov_col_8	SK-EFF_577737-checked-ARG-host_cov_col_7	SK-EFF_577737-checked-ARG-host_cov_col_8	SWH-ADS_577436-checked-ARG-host_cov_col_7	SWH-ADS_577436-checked-ARG-host_cov_col_8	STL-EFF_577476-checked-ARG-host_cov_col_7	STL-EFF_577476-checked-ARG-host_cov_col_8	STL-AS_579739-checked-ARG-host_cov_col_7	STL-AS_579739-checked-ARG-host_cov_col_8	SK-AS_579852-checked-ARG-host_cov_col_7	SK-AS_579852-checked-ARG-host_cov_col_8	YL-ADS_577288-checked-ARG-host_cov_col_7	YL-ADS_577288-checked-ARG-host_cov_col_8	TP-ADS_743148-checked-ARG-host_cov_col_7	TP-ADS_743148-checked-ARG-host_cov_col_8	STL-IN_578603-checked-ARG-host_cov_col_7	STL-IN_578603-checked-ARG-host_cov_col_8
o__Pseudomonadales	11.3031292	o__Burkholderiales	65.2037966	o__Burkholderiales	18.944128999999997	o__Mycobacteriales	14.975817	o__Sphingomonadales	13.7877144	o__Rhodobacterales	27.96796	o__Burkholderiales	33.6647454	o__Bacteroidales	73.22813400000001	o__Desulfatiglandales	7.5336165	o__Burkholderiales	40.3875383	o__Chitinophagales	7.858313	o__Mycobacteriales	261.6042895	o__Mycobacteriales	26.5027445	o__Bacteroidales	43.7230345	o__Burkholderiales	44.8492979	o__Mycobacteriales	66.14103349999999	o__Campylobacterales	7.641061	o__Mycobacteriales	39.876896	o__Burkholderiales	167.7606748	o__Lachnospirales	7.5782776	o__UBA4820	4.436751	o__Mycobacteriales	62.8573
o__Chitinophagales	7.3850527	o__Chitinophagales	46.683183	o__Palsa-1104	8.560342	o__Flavobacteriales	13.301011	o__Mycobacteriales	105.849821	o__Mycobacteriales	29.551586	o__Rhodobacterales	10.757763	o__Burkholderiales	120.2277444	o__Christensenellales	4.8992724	o__Enterobacterales_A	75.99411199999999	o__Burkholderiales	81.9204001	o__Actinomycetales	12.601441	o__Burkholderiales	43.5160174	o__Acidimicrobiales	98.177505	o__Sphingomonadales	254.19024	o__Burkholderiales	44.4821568	o__Burkholderiales	70.6198035	o__Pseudomonadales	2.984412	o__Chitinophagales	162.694537	o__Burkholderiales	95.565099	o__Saccharofermentanales	11.215249	o__Enterobacterales_A	35.846867
o__Mycobacteriales	148.528019	o__Sphingomonadales	13.148789	o__Pseudomonadales	6.4848514	o__Enterobacterales_A	42.03565	o__Thiotrichales	990.073318	o__Synergistales	4.658987	o__Pseudomonadales	37.685028	o__Mycobacteriales	5.3883886	o__Oscillospirales	10.0843678	o__Pseudomonadales	42.421767	o__Chromatiales	19.60854	o__Rhizobiales	11.958916	o__Pseudomonadales	19.141308	o__Mycobacteriales	60.487354	o__Bacillales	33.9300823	o__Rhodobacterales	9.827922	o__Pseudomonadales	73.4695985	o__Burkholderiales	61.8387984	o__Rhizobiales	6.1258783	o__Planctomycetales	5.1996756	o__Oscillospirales	21.285862	o__Burkholderiales	112.9064508
o__Oscillospirales	4.5205793	o__Competibacterales	89.36404			o__Bacteroidales	51.796985	o__Pseudomonadales	18.175252	o__Enterobacterales_A	10.084274	o__Chromatiales	31.211086	o__Flavobacteriales	22.307486	o__Burkholderiales	38.05106	o__Mycobacteriales	209.7833	o__Sphingomonadales	4.5637684	o__Pseudomonadales	2.779505	o__Sphingomonadales	7.6365342	o__Burkholderiales	63.504927	o__Paenibacillales	5.447721	o__Bacteroidales	114.4317266	o__Bacteroidales	8.2011752	o__Rhodobacterales	3.9473672	o__Nannocystales	3.2481203	o__AKYH767-A	63.104755	o__Bacteroidales	39.211053	o__Chitinophagales	22.965528
o__Saccharofermentanales	3.7862039	o__Planctomycetales	9.381433			o__Saccharofermentanales	14.906801	o__Planctomycetales	8.485718299999998	o__Bacteroidales	36.7541003	o__LD1-PB3_A	5.2971888	o__Propionibacteriales	21.801218	o__Promineofilales	233.97746	o__GCA-2729495	11.351732	o__Flavobacteriales	8.471271	o__JAAEPA01	9.340178			o__Acidaminococcales	6.9060807	o__Mycobacteriales	32.844904	o__Christensenellales	5.527125	o__Enterobacterales_A	13.094265	o__AKYH767	16.701473	o__Polyangiales	7.4987903	o__Thiotrichales	37.411287	o__Mycobacteriales	224.974296	o__Pseudomonadales	16.938944
o__Burkholderiales	21.34768	o__Thiotrichales	75.19265999999999			o__Pseudomonadales	31.076277	o__Burkholderiales	39.798561	o__Burkholderiales	40.083593	o__Rhizobiales	11.2855425	o__Selenomonadales	30.88196	o__Methanofastidiosales	2.8007803	o__Chitinophagales	7.92925	o__LD1-PB3_A	4.234745	o__Chromatiales	3.197676			o__Selenomonadales	8.070822	o__Nannocystales	5.1046734	o__Peptostreptococcales	2.7175214	o__Mycobacteriales	160.99860460000002	o__Rhizobiales	17.448263	o__Rhodobacterales	23.723633	o__Acidaminococcales	3.6314921	o__Burkholderiales	24.332603	o__Phycisphaerales	3.2199721
o__Xanthomonadales	6.479774	o__Rhodobacterales	26.2798277			o__Oscillospirales	4.128931	o__Bacteroidales	4.903226	o__JAAEPA01	7.5555086	o__JAAEPA01	9.8326235	o__Thiotrichales	4.0772166	o__Rhodobacterales	9.788014	o__Chromatiales	18.166365	o__Verrucomicrobiales	4.2404833	o__Burkholderiales	17.2860221			o__Enterobacterales_A	126.0624008	o__Propionibacteriales	14.294443	o__SURF-12	4.3142014	o__Thiotrichales	3.1016164	o__Chitinophagales	40.336676			o__Syntrophomonadales	4.0065956	o__Rhodobacterales	14.252406	o__Bacteroidales	14.776865
o__Flavobacteriales	8.3258698	o__Acidimicrobiales	15.9623995			o__Lachnospirales	5.9221215	o__Rhodobacterales	3.7899156	o__Fibrobacterales	8.6205376			o__Lachnospirales	45.793146	o__Anaerolineales	15.186205	o__UBA9214	13.325873	o__Xanthomonadales	3.7470586					o__Petrotogales	59.7235	o__Rhodobacterales	5.925919	o__Obscuribacterales	3.3132343	o__Legionellales	21.383041	o__Sphingomonadales	9.429679			o__Bacteroidales	20.525816000000003	o__Chromatiales	8.013726	o__Flavobacteriales	7.434051
o__Chromatiales	6.245522	o__Xanthomonadales	5.257082			o__Burkholderiales	80.873818	o__Flavobacteriales	79.897202	o__Lachnospirales	32.339576			o__Pseudomonadales	50.863375000000005	o__JAAEPA01	21.479797	o__Verrucomicrobiales	3.7950363	o__Competibacterales	20.829397					o__Lactobacillales	79.326485	o__Chitinophagales	9.535238	o__Tissierellales	7.5245266	o__Chitinophagales	8.667439	o__Xanthomonadales	6.525698			o__Chitinophagales	3.3995066	o__UBA4802	13.317213	o__Sphingomonadales	6.4984927
o__Polyangiales	4.7015767					o__Rhodobacterales	13.4110725	o__Chitinophagales	7.3468466	o__Chromatiales	8.064209			o__Peptostreptococcales	16.942905			o__Rhodobacterales	26.68799							o__Rhodobacterales	16.120644	o__Polyangiales	3.8949564	o__Lachnospirales	4.0793495	o__Flavobacteriales	4.678389	o__Gemmatimonadales	6.3136945								
