TP-EFF_580007-checked-ARG-host_cov_col_11	TP-EFF_580007-checked-ARG-host_cov_col_12	YL-AS_578825-checked-ARG-host_cov_col_11	YL-AS_578825-checked-ARG-host_cov_col_12	SWH-AS_577324-checked-ARG-host_cov_col_11	SWH-AS_577324-checked-ARG-host_cov_col_12	SWH-IN_578335-checked-ARG-host_cov_col_11	SWH-IN_578335-checked-ARG-host_cov_col_12	YL-EFF_579475-checked-ARG-host_cov_col_11	YL-EFF_579475-checked-ARG-host_cov_col_12	ST-IN_577286-checked-ARG-host_cov_col_11	ST-IN_577286-checked-ARG-host_cov_col_12	ST-AS_578410-checked-ARG-host_cov_col_11	ST-AS_578410-checked-ARG-host_cov_col_12	SK-IN_578754-checked-ARG-host_cov_col_11	SK-IN_578754-checked-ARG-host_cov_col_12	ST-ADS_579814-checked-ARG-host_cov_col_11	ST-ADS_579814-checked-ARG-host_cov_col_12	TP-IN_577697-checked-ARG-host_cov_col_11	TP-IN_577697-checked-ARG-host_cov_col_12	TP-AS_578565-checked-ARG-host_cov_col_11	TP-AS_578565-checked-ARG-host_cov_col_12	ST-EEF_579967-checked-ARG-host_cov_col_11	ST-EEF_579967-checked-ARG-host_cov_col_12	SWH-EFF_579360-checked-ARG-host_cov_col_11	SWH-EFF_579360-checked-ARG-host_cov_col_12	YL-IN_577304-ARG-host_cov_col_11	YL-IN_577304-ARG-host_cov_col_12	SK-EFF_577737-checked-ARG-host_cov_col_11	SK-EFF_577737-checked-ARG-host_cov_col_12	SWH-ADS_577436-checked-ARG-host_cov_col_11	SWH-ADS_577436-checked-ARG-host_cov_col_12	STL-EFF_577476-checked-ARG-host_cov_col_11	STL-EFF_577476-checked-ARG-host_cov_col_12	STL-AS_579739-checked-ARG-host_cov_col_11	STL-AS_579739-checked-ARG-host_cov_col_12	SK-AS_579852-checked-ARG-host_cov_col_11	SK-AS_579852-checked-ARG-host_cov_col_12	YL-ADS_577288-checked-ARG-host_cov_col_11	YL-ADS_577288-checked-ARG-host_cov_col_12	TP-ADS_743148-checked-ARG-host_cov_col_11	TP-ADS_743148-checked-ARG-host_cov_col_12	STL-IN_578603-checked-ARG-host_cov_col_11	STL-IN_578603-checked-ARG-host_cov_col_12
g__JACKOD01	3.1667032	g__Ottowia	40.087385999999995	g__AWTP1-18	8.798687	g__Mycobacterium	14.975817	g__Sphingobium	13.7877144	g__Paracoccus	27.96796	g__Ottowia	28.041874999999997	g__Prevotella	36.90686	g__JAFGMQ01	7.5336165	g__Neisseria	5.15076	g__OLB8	7.858313	g__Mycobacterium	203.262021	g__Mycobacterium	22.64447	g__Phocaeicola	13.6310625	g__JAABQG01	5.2137437	g__Mycobacterium	66.14103349999999	g__Sulfurospirillum	7.641061	g__Mycobacterium	39.876896	g__Rubrivivax_A	11.467354	g__JAGPKJ01	7.5782776	g__	12.450477	g__Mycobacterium	62.8573
g__OLB8	7.3850527	g__JADJSS01	22.315086	g__JAHBZM01	10.145442	g__Epilithonimonas	13.301011	g__Mycobacterium	105.849821	g__Rhodococcus	29.551586	g__Albidovulum	10.757763	g__Brachymonas	30.3716924	g__	4.8992724	g__Aeromonas	47.831646	g__Ottowia	21.60578	g__Nocardia	19.79498	g__Giesbergeria	6.027552	g__AWTP1-35	98.177505	g__Giesbergeria	6.040316	g__JAABQG01	14.322906	g__	20.6316843	g__JAGLBJ01	2.984412	g__Ottowia	52.8444403	g__Nitrotoga	4.461982	g__Saccharofermentans	11.215249	g__Aeromonas	35.846867
g__Mycobacterium	148.528019	g__Comamonas_C	12.658636	g__JAGNNG01	8.560342	g__Aeromonas	42.03565	g__Thiolinea	970.49967	g__Dethiosulfovibrio	4.658987	g__Halioglobus	37.685028	g__Neisseria	17.491877000000002	g__UMGS1668	5.9715834	g__Ottowia	19.20439	g__Hydrogenophaga	6.2443314	g__Gordonia	38.5472885	g__Rivicola	3.5879507	g__Mycobacterium	60.487354	g__Ottowia	20.6427677	g__Paracoccus	5.8472	g__Rubrivivax_A	8.351792	g__Pelomonas	20.687798	g__CAISIP01	11.384353	g__Comamonas_C	24.047213	g__UBA2658	12.477645	g__Brachymonas	9.005771
g__JAEXNS01	4.5205793	g__Sphingobium	13.148789	g__UBA7239	6.4848514	g__Macellibacteroides	8.729218	g__JADJWY01	13.806947	g__Mannheimia	10.084274	g__41T-STBD-0c-01a	31.211086	g__Mycobacterium	5.3883886	g__Ruminococcus	4.1127844	g__Hydrogenophaga	5.0962086	g__CAISIP01	6.3620687	g__Microbacterium	12.601441	g__Acinetobacter	19.141308	g__Ottowia	30.117565	g__Sphingobium	254.19024	g__UBA1064	98.99359	g__Pseudomonas_E	66.4730665	g__TMP-24	3.9473672	g__UBA3362	16.204813	g__Ottowia	45.24481	g__DTU089	8.808217	g__Acidovorax_C	24.208214
g__Saccharofermentans	3.7862039	g__Plasticicumulans	89.36404			g__Saccharofermentans	14.906801	g__SXXK01	5.0568686	g__Bacteroides	5.4087653	g__CAISIP01	5.6228704	g__Ottowia	18.534418	g__Ottowia	38.05106	g__Pseudomonas_E	15.488776	g__41T-STBD-0c-01a	19.60854	g__JAEUMD01	9.572015	g__Thauera	15.6220255	g__Alicycliphilus	8.73188	g__Neobacillus	5.5711913	g__Limiplasma	5.527125	g__Phocaeicola	5.2374215	g__UBA2475	16.701473	g__JADJSS01	12.267374	g__Giesbergeria	21.811094	g__Bacteroides_I	5.967759	g__Rubrivivax_A	28.376158
g__Ottowia	15.986609	g__SXXK01	9.381433			g__Pseudomonas_E	25.978107	g__Thiothrix	19.573648	g__Laribacter	4.29158	g__JACKPT01	5.2971888	g__Formivibrio	5.54265	g__JAMLHW01	233.97746	g__Mycobacterium	209.7833	g__JACKKV01	4.5637684	g__Pseudomonas_E	2.779505	g__Nitrosomonas	4.0142345	g__Giesbergeria	16.273302	g__Paenibacillus	5.447721	g__Lentihominibacter	2.7175214	g__Aeromonas	13.094265	g__JADJTR01	17.448263	g__OLB8	134.22235	g__SXXK01	5.1996756	g__Mycobacterium	224.974296	g__Alicycliphilus	29.594336
g__Hydrogenophaga	5.361071	g__Thiolinea	40.368727			g__Ruminococcus_D	4.128931	g__Giesbergeria	19.411209	g__JAAEPA01	7.5555086	g__JAEUMD01	11.2855425	g__JABCPE02	12.998435	g__Methanofastidiosum	2.8007803	g__Vibrio	18.755556	g__Thauera	47.70822	g__JAAEPA01	9.340178	g__JADCGM01	3.2770538	g__Bacteroides_I	22.469048	g__Mycobacterium	32.844904	g__Rubrivivax_A	4.526756	g__Mycobacterium	160.99860460000002	g__JAHBZM01	4.940106	g__Aestuariivirga	6.1258783	g__OLB10	63.104755	g__Ottowia	24.332603	g__Pelomonas	8.218984
g__JACKOX01	6.479774	g__Pseudogemmobacter	7.4358397			g__Phocaeicola	26.771317	g__Bacteroides_I	4.903226	g__	37.8979533	g__JAAEPA01	9.8326235	g__Micropruina	21.801218	g__Paracoccus	9.788014	g__SHZI01	11.351732	g__Parvicella	8.471271	g__Thiocapsa	3.197676	g__Skermania	3.8582745	g__RZYP01	6.9060807	g__JADJRG01	5.1046734	g__JABLXU01	4.3142014	g__Thiothrix	3.1016164	g__OLB8	40.336676	g__JAHBZM01	10.0128975	g__Thiolinea	37.411287	g__Paracoccus	14.252406	g__UBA3362	22.965528
g__Parvicella	6.2262707	g__UBA668	15.9623995			g__Lachnospira	5.9221215	g__Albidovulum	3.7899156	g__Neisseria	7.766638			g__Epilithonimonas	9.309051	g__UBA6107	15.186205	g__Brachymonas	6.847581	g__JACKPT01	4.234745	g__Aquabacterium_A	3.9734082	g__Sphingobium	4.3594804	g__Megamonas	8.070822	g__Nocardioides	14.294443	g__QKMZ01	3.3132343	g__Rhodoferax_C	5.8807106	g__VBCG01	10.307669	g__JAABQG01	15.168809	g__RZYP01	3.6314921	g__UBA1064	33.243294	g__Moraxella_A	16.938944
g__	2.0995991	g__OLB8	24.368097			g__CTSOIL-112	9.360289	g__Zoogloea	20.387352	g__Bacteroides_I	31.345335			g__Macellibacteroides	36.321274	g__JAAEPA01	21.479797	g__OLB8	7.92925	g__JACKQE01	4.2404833	g__Thauera	5.756437	g__SSSZ01	8.896165	g__Aeromonas	108.66003	g__QY30	5.925919	g__Sedimentibacter	7.5245266	g__Legionella_A	21.383041	g__Sphingobium	9.429679	g__Nannocystis	3.2481203	g__UBA4844	4.0065956	g__JAKJGA01	13.317213	g__JADLFW01	3.2199721
g__JADJWY01	3.8173895	g__Aquimonas	5.257082			g__Brachymonas	15.826567	g__UBA5078	4.368305	g__HKST-UBA178	8.064209			g__JAGPMH01	30.88196			g__41T-STBD-0c-01a	18.166365	g__Dokdonella	3.7470586	g__Hydrogenophaga	3.9758682	g__Azospira_A	5.3680897	g__Mesotoga	59.7235	g__OLB8	9.535238	g__Porcincola	4.0793495	g__Piscinibacter	15.732979	g__Rhodoferax_C	4.2360954	g__AWTP1-18	8.13019	g__Bacteroides_I	3.7110825			g__Bacteroides_I	10.172118
g__41T-STBD-0c-01a	6.245522	g__Albidovulum	18.843988			g__Giesbergeria	28.090355	g__JACKHO01	3.4288497	g__JAEZYS01	6.831798			g__	4.0772166			g__Mannheimia	9.40691	g__Competibacter_A	20.829397	g__Ottowia	3.5803087			g__Neisseria	8.38218	g__CAISKJ01	3.8949564	g__Parabacteroides	2.347802	g__OLB8	8.667439	g__Thermomonas	6.525698	g__	12.764639	g__UBA1413	13.445786			g__Giesbergeria	6.7394385
g__JACKEA01	4.7015767	g__Thiothrix	34.823933			g__Gemmobacter	7.0411515	g__Flavobacterium	63.71918	g__Fibro-01	3.0621603			g__Laribacter	16.581789			g__UBA9214	13.325873			g__Xanthobacter	2.386901			g__Streptococcus	79.326485	g__Nitrospira_A	9.4481	g__UBA1368	7.819028	g__Sterolibacterium	3.5770202	g__SCN-70-22	6.3136945	g__SSSZ01	34.111217	g__Prevotella	3.3689475			g__Flavobacterium	7.434051
g__Ch67	4.3190365	g__CAISIP01	6.5814366			g__Amaricoccus	6.369921	g__OLB8	7.3468466	g__Brachymonas	9.379567			g__Agathobacter	35.36929			g__JACKQE01	3.7950363							g__Bacteroides	7.622924	g__Gottfriedia	28.358891	g__PHAA01	11.329479	g__Flavobacterium	4.678389	g__Turneriella	2.4154377	g__JAFLCL01	7.4987903	g__JADJSS01	3.3995066			g__Nitrosomonas	6.7635493
g__VMDK01	3.3489616	g__Rubrivivax	5.876338			g__P52-10	5.157024	g__Fluviicola	16.178022	g__Thiothrix	6.265927			g__Moraxella_A	36.384168			g__Moraxella	26.932991							g__Albidovulum	16.120644	g__AWTP1-18	3.134937	g__Aquisediminimonas	4.8487663	g__Caedibacter	2.3438745	g__Nitrosomonas	21.66713	g__Tabrizicola	23.723633					g__Sphingobium	6.4984927
g__JAGOSC01	4.2544127					g__Psychrobacter	5.09817			g__Ottowia	18.645808			g__Lachnospira	10.423856			g__Paracoccus	26.68799							g__Agathobacter	5.8753138	g__Rubrivivax	9.8175335	g__Giesbergeria	6.8159914	g__Zoogloea	6.1323557			g__Thauera	11.876775					g__Phocaeicola	4.604747
g__JACSRF01	3.7114046					g__Megamonas	14.903399							g__Acetoanaerobium	16.942905			g__Lachnospira	6.0807347							g__JAEUMG01	7.053468	g__Brevibacillus	3.322656	g__Sphingobium	8.385435	g__Ottowia	10.999825										
						g__Pseudoxanthomonas_A	7.9781895							g__Sulfurospirillum	31.092995			g__Bacteroides	20.49159							g__Mannheimia	5.9611278			g__Ottowia	13.428296	g__CAITNM01	3.1883028										
						g__Sphaerotilus	27.596607							g__Acidovorax_C	31.705318			g__Sutterella	4.0885987							g__Acinetobacter	13.418223			g__Novosphingobium	2.3857858	g__Prevotella	2.9637537										
						g__Bacteroides	16.29645							g__Moraxella	14.479207			g__Competibacter_A	7.452606							g__UBA1368	8.113731			g__	1.8328713	g__JAGLBJ01	6.996532										
																		g__JACKKV01	3.7445621							g__Chelonobacter	11.441243			g__Atribacter	2.7983806	g__JADYYQ01	5.4876127										
