TP-EFF_580007-checked-ARG-host_cov_col_3	TP-EFF_580007-checked-ARG-host_cov_col_4	YL-AS_578825-checked-ARG-host_cov_col_3	YL-AS_578825-checked-ARG-host_cov_col_4	SWH-AS_577324-checked-ARG-host_cov_col_3	SWH-AS_577324-checked-ARG-host_cov_col_4	SWH-IN_578335-checked-ARG-host_cov_col_3	SWH-IN_578335-checked-ARG-host_cov_col_4	YL-EFF_579475-checked-ARG-host_cov_col_3	YL-EFF_579475-checked-ARG-host_cov_col_4	ST-IN_577286-checked-ARG-host_cov_col_3	ST-IN_577286-checked-ARG-host_cov_col_4	ST-AS_578410-checked-ARG-host_cov_col_3	ST-AS_578410-checked-ARG-host_cov_col_4	SK-IN_578754-checked-ARG-host_cov_col_3	SK-IN_578754-checked-ARG-host_cov_col_4	ST-ADS_579814-checked-ARG-host_cov_col_3	ST-ADS_579814-checked-ARG-host_cov_col_4	TP-IN_577697-checked-ARG-host_cov_col_3	TP-IN_577697-checked-ARG-host_cov_col_4	TP-AS_578565-checked-ARG-host_cov_col_3	TP-AS_578565-checked-ARG-host_cov_col_4	ST-EEF_579967-checked-ARG-host_cov_col_3	ST-EEF_579967-checked-ARG-host_cov_col_4	SWH-EFF_579360-checked-ARG-host_cov_col_3	SWH-EFF_579360-checked-ARG-host_cov_col_4	YL-IN_577304-ARG-host_cov_col_3	YL-IN_577304-ARG-host_cov_col_4	SK-EFF_577737-checked-ARG-host_cov_col_3	SK-EFF_577737-checked-ARG-host_cov_col_4	SWH-ADS_577436-checked-ARG-host_cov_col_3	SWH-ADS_577436-checked-ARG-host_cov_col_4	STL-EFF_577476-checked-ARG-host_cov_col_3	STL-EFF_577476-checked-ARG-host_cov_col_4	STL-AS_579739-checked-ARG-host_cov_col_3	STL-AS_579739-checked-ARG-host_cov_col_4	SK-AS_579852-checked-ARG-host_cov_col_3	SK-AS_579852-checked-ARG-host_cov_col_4	YL-ADS_577288-checked-ARG-host_cov_col_3	YL-ADS_577288-checked-ARG-host_cov_col_4	TP-ADS_743148-checked-ARG-host_cov_col_3	TP-ADS_743148-checked-ARG-host_cov_col_4	STL-IN_578603-checked-ARG-host_cov_col_3	STL-IN_578603-checked-ARG-host_cov_col_4
p__Pseudomonadota	45.3761052	p__Pseudomonadota	274.4461953	p__Pseudomonadota	25.428980399999997	p__Actinomycetota	14.975817	p__Pseudomonadota	1065.624761	p__Pseudomonadota	100.0214716	p__Pseudomonadota	134.4367884	p__Bacteroidota	95.53562	p__Desulfobacterota	7.5336165	p__Pseudomonadota	239.5325454	p__Bacteroidota	16.329584	p__Actinomycetota	274.2057305	p__Actinomycetota	26.5027445	p__Bacteroidota	43.7230345	p__Pseudomonadota	304.96545690000005	p__Actinomycetota	66.14103349999999	p__Campylobacterota	7.641061	p__Actinomycetota	39.876896	p__Pseudomonadota	197.6101861	p__Bacillota_A	7.5782776	p__Acidobacteriota	4.436751	p__Actinomycetota	62.8573
p__Bacteroidota	19.0598841	p__Bacteroidota	46.683183	p__Myxococcota	8.560342	p__Bacteroidota	65.097996	p__Actinomycetota	105.849821	p__Actinomycetota	29.551586	p__Verrucomicrobiota	5.2971888	p__Pseudomonadota	175.168336	p__Bacillota_A	14.9836402	p__Actinomycetota	209.7833	p__Pseudomonadota	130.6691641	p__Pseudomonadota	44.5622971	p__Pseudomonadota	70.2938596	p__Actinomycetota	158.664859	p__Bacillota	42.700459300000006	p__Pseudomonadota	80.9191509	p__Pseudomonadota	198.4478087	p__Pseudomonadota	102.1742176	p__Bacteroidota	162.694537	p__Pseudomonadota	132.976386	p__Bacillota_A	32.501111	p__Pseudomonadota	172.19075449999997
p__Actinomycetota	148.528019	p__Planctomycetota	9.381433			p__Pseudomonadota	180.532031	p__Planctomycetota	8.485718299999998	p__Synergistota	4.658987			p__Actinomycetota	27.1896066	p__Pseudomonadota	69.318871	p__Bacteroidota	64.994742	p__Verrucomicrobiota	8.475228300000001					p__Pseudomonadota	226.15966280000004	p__Actinomycetota	47.139347	p__Bacteroidota	116.9039585	p__Bacteroidota	21.5470032	p__Bacteroidota	57.038149	p__Myxococcota	10.7469106	p__Planctomycetota	5.1996756	p__Bacteroidota	39.211053	p__Bacteroidota	45.176444
p__Bacillota_A	8.3067832	p__Actinomycetota	15.9623995			p__Bacillota_A	24.9578535	p__Bacteroidota	92.1472746	p__Bacteroidota	36.7541003			p__Bacillota_C	30.88196	p__Chloroflexota	249.163665	p__Verrucomicrobiota	3.7950363							p__Bacillota_C	14.9769027	p__Myxococcota	8.999629800000001	p__Bacillota_A	19.8485225	p__Actinomycetota	160.99860460000002	p__Gemmatimonadota	6.3136945			p__Bacteroidota	87.0300776	p__Actinomycetota	224.974296	p__Planctomycetota	3.2199721
p__Myxococcota	4.7015767					p__Bacillota_C	14.903399			p__Fibrobacterota	8.6205376			p__Bacillota_A	62.736051	p__Methanobacteriota_B	2.8007803	p__Bacillota_A	6.0807347							p__Thermotogota	59.7235	p__Bacteroidota	9.535238	p__OLB16	4.3142014	p__Bacillota_C	3.776164	p__Spirochaetota	2.4154377			p__Bacillota_C	3.6314921	p__Pseudomonadota	46.598735		
p__Omnitrophota	4.2544127									p__Bacillota_A	39.171374			p__Campylobacterota	31.092995			p__Bacillota	14.535048							p__Bacillota	79.326485	p__Nitrospirota	9.4481	p__Cyanobacteriota	3.3132343							p__Bacillota_B	4.0065956	p__Spirochaetota	13.317213		
p__Chloroflexota	3.7114046																									p__Bacillota_A	5.8753138			p__Bacillota_B	19.148507												
																										p__Bacillota_B	8.113731			p__Planctomycetota	1.8328713												
																														p__Atribacterota	2.7983806												
																														p__Desulfobacterota	5.1256504												
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
