TP-EFF_580007-checked-ARG-host_cov_col_5	TP-EFF_580007-checked-ARG-host_cov_col_6	YL-AS_578825-checked-ARG-host_cov_col_5	YL-AS_578825-checked-ARG-host_cov_col_6	SWH-AS_577324-checked-ARG-host_cov_col_5	SWH-AS_577324-checked-ARG-host_cov_col_6	SWH-IN_578335-checked-ARG-host_cov_col_5	SWH-IN_578335-checked-ARG-host_cov_col_6	YL-EFF_579475-checked-ARG-host_cov_col_5	YL-EFF_579475-checked-ARG-host_cov_col_6	ST-IN_577286-checked-ARG-host_cov_col_5	ST-IN_577286-checked-ARG-host_cov_col_6	ST-AS_578410-checked-ARG-host_cov_col_5	ST-AS_578410-checked-ARG-host_cov_col_6	SK-IN_578754-checked-ARG-host_cov_col_5	SK-IN_578754-checked-ARG-host_cov_col_6	ST-ADS_579814-checked-ARG-host_cov_col_5	ST-ADS_579814-checked-ARG-host_cov_col_6	TP-IN_577697-checked-ARG-host_cov_col_5	TP-IN_577697-checked-ARG-host_cov_col_6	TP-AS_578565-checked-ARG-host_cov_col_5	TP-AS_578565-checked-ARG-host_cov_col_6	ST-EEF_579967-checked-ARG-host_cov_col_5	ST-EEF_579967-checked-ARG-host_cov_col_6	SWH-EFF_579360-checked-ARG-host_cov_col_5	SWH-EFF_579360-checked-ARG-host_cov_col_6	YL-IN_577304-ARG-host_cov_col_5	YL-IN_577304-ARG-host_cov_col_6	SK-EFF_577737-checked-ARG-host_cov_col_5	SK-EFF_577737-checked-ARG-host_cov_col_6	SWH-ADS_577436-checked-ARG-host_cov_col_5	SWH-ADS_577436-checked-ARG-host_cov_col_6	STL-EFF_577476-checked-ARG-host_cov_col_5	STL-EFF_577476-checked-ARG-host_cov_col_6	STL-AS_579739-checked-ARG-host_cov_col_5	STL-AS_579739-checked-ARG-host_cov_col_6	SK-AS_579852-checked-ARG-host_cov_col_5	SK-AS_579852-checked-ARG-host_cov_col_6	YL-ADS_577288-checked-ARG-host_cov_col_5	YL-ADS_577288-checked-ARG-host_cov_col_6	TP-ADS_743148-checked-ARG-host_cov_col_5	TP-ADS_743148-checked-ARG-host_cov_col_6	STL-IN_578603-checked-ARG-host_cov_col_5	STL-IN_578603-checked-ARG-host_cov_col_6
c__Gammaproteobacteria	45.3761052	c__Gammaproteobacteria	235.0175786	c__Gammaproteobacteria	25.428980399999997	c__Actinomycetia	14.975817	c__Alphaproteobacteria	17.57763	c__Alphaproteobacteria	27.96796	c__Gammaproteobacteria	112.39348289999998	c__Bacteroidia	95.53562	c__DSM-4660	7.5336165	c__Gammaproteobacteria	209.09999330000005	c__Bacteroidia	16.329584	c__Actinomycetia	274.2057305	c__Actinomycetia	26.5027445	c__Bacteroidia	43.7230345	c__Gammaproteobacteria	44.8492979	c__Actinomycetia	66.14103349999999	c__Campylobacteria	7.641061	c__Actinomycetia	39.876896	c__Gammaproteobacteria	167.7606748	c__Clostridia	7.5782776	c__UBA4820	4.436751	c__Actinomycetia	62.8573
c__Bacteroidia	19.0598841	c__Bacteroidia	46.683183	c__Polyangia	8.560342	c__Bacteroidia	65.097996	c__Actinomycetia	105.849821	c__Actinomycetia	29.551586	c__Alphaproteobacteria	22.0433055	c__Gammaproteobacteria	175.168336	c__Clostridia	14.9836402	c__Actinomycetia	209.7833	c__Gammaproteobacteria	126.1053957	c__Alphaproteobacteria	11.958916	c__Gammaproteobacteria	62.65732539999999	c__Acidimicrobiia	98.177505	c__Alphaproteobacteria	260.11615900000004	c__Gammaproteobacteria	55.4712418	c__Gammaproteobacteria	195.2595059	c__Gammaproteobacteria	71.3489084	c__Bacteroidia	162.694537	c__Gammaproteobacteria	132.976386	c__Clostridia	32.501111	c__Gammaproteobacteria	165.69226179999998
c__Actinomycetia	148.528019	c__Alphaproteobacteria	39.4286167			c__Gammaproteobacteria	161.9639345	c__Gammaproteobacteria	1048.047131	c__Synergistia	4.658987	c__Kiritimatiellia	5.2971888	c__Actinomycetia	27.1896066	c__Gammaproteobacteria	59.530857	c__Bacteroidia	64.994742	c__Alphaproteobacteria	4.5637684	c__Gammaproteobacteria	32.60338110000001	c__Alphaproteobacteria	7.6365342	c__Actinomycetia	60.487354	c__Bacilli	42.700459300000006	c__Alphaproteobacteria	25.4479091	c__Bacteroidia	21.5470032	c__Alphaproteobacteria	30.8253092	c__Alphaproteobacteria	29.8495113	c__Planctomycetia	5.1996756	c__Bacteroidia	39.211053	c__Bacteroidia	45.176444
c__Clostridia	8.3067832	c__Planctomycetia	9.381433			c__Clostridia	24.9578535	c__Planctomycetia	8.485718299999998	c__Gammaproteobacteria	72.05351160000001			c__Negativicutes	30.88196	c__Anaerolineae	249.163665	c__Verrucomicrobiae	3.7950363	c__Kiritimatiellia	4.234745					c__Gammaproteobacteria	202.9855508	c__Actinomycetia	47.139347	c__Bacteroidia	116.9039585	c__Actinomycetia	160.99860460000002	c__Bacteroidia	57.038149	c__Polyangia	10.7469106	c__Bacteroidia	87.0300776	c__Actinomycetia	224.974296	c__Phycisphaerae	3.2199721
c__Polyangia	4.7015767	c__Acidimicrobiia	15.9623995			c__Alphaproteobacteria	18.5680965	c__Bacteroidia	92.1472746	c__Bacteroidia	36.7541003			c__Clostridia	62.736051	c__Thermococci	2.8007803	c__Alphaproteobacteria	30.4325521	c__Verrucomicrobiae	4.2404833					c__Negativicutes	14.9769027	c__Polyangia	8.999629800000001	c__Clostridia	19.8485225	c__Alphaproteobacteria	3.1883028	c__Gemmatimonadetes	6.3136945			c__Negativicutes	3.6314921	c__Gammaproteobacteria	32.346329	c__Alphaproteobacteria	6.4984927
c__Koll11	4.2544127					c__Negativicutes	14.903399			c__Fibrobacteria	8.6205376			c__Campylobacteria	31.092995	c__Alphaproteobacteria	9.788014	c__Clostridia	6.0807347							c__Thermotogae	59.7235	c__Bacteroidia	9.535238	c__OLB16	4.3142014	c__Negativicutes	3.776164	c__Leptospirae	2.4154377			c__Syntrophomonadia	4.0065956	c__Alphaproteobacteria	14.252406		
c__Anaerolineae	3.7114046									c__Clostridia	39.171374							c__Bacilli	14.535048							c__Bacilli	79.326485	c__Nitrospiria	9.4481	c__Vampirovibrionia	3.3132343									c__UBA4802	13.317213		
																										c__Alphaproteobacteria	23.174111999999997			c__Syntrophomonadia	19.148507												
																										c__Clostridia	5.8753138			c__Phycisphaerae	1.8328713												
																										c__Syntrophomonadia	8.113731			c__Atribacteria	2.7983806												
