Gene	TP-EFF_580007-checked-ARG-host_cov_col_10	YL-AS_578825-checked-ARG-host_cov_col_10	SWH-AS_577324-checked-ARG-host_cov_col_10	SWH-IN_578335-checked-ARG-host_cov_col_10	YL-EFF_579475-checked-ARG-host_cov_col_10	ST-IN_577286-checked-ARG-host_cov_col_10	ST-AS_578410-checked-ARG-host_cov_col_10	SK-IN_578754-checked-ARG-host_cov_col_10	ST-ADS_579814-checked-ARG-host_cov_col_10	TP-IN_577697-checked-ARG-host_cov_col_10	TP-AS_578565-checked-ARG-host_cov_col_10	ST-EEF_579967-checked-ARG-host_cov_col_10	SWH-EFF_579360-checked-ARG-host_cov_col_10	YL-IN_577304-ARG-host_cov_col_10	SK-EFF_577737-checked-ARG-host_cov_col_10	SWH-ADS_577436-checked-ARG-host_cov_col_10	STL-EFF_577476-checked-ARG-host_cov_col_10	STL-AS_579739-checked-ARG-host_cov_col_10	SK-AS_579852-checked-ARG-host_cov_col_10	YL-ADS_577288-checked-ARG-host_cov_col_10	TP-ADS_743148-checked-ARG-host_cov_col_10	STL-IN_578603-checked-ARG-host_cov_col_10
f__Oleiphilaceae	6.9840927	0.0	0.0	0.0	13.806947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Burkholderiaceae_B	21.34768	65.2037966	10.145442	71.513529	19.411209	28.025375	33.6647454	80.6114284	38.05106	31.1481796	34.2121801	11.5295851	6.027552	55.122747	41.7143609	39.0939494	40.9653066	29.8639994	113.6424928	91.103117	24.332603	106.1429015
f__Rhodocyclaceae	0.0	0.0	8.798687	0.0	20.387352	0.0	0.0	0.0	0.0	0.0	47.70822	5.756437	29.8862802	0.0	3.134937	5.3882074	13.1615556	0.0	54.118182	0.0	0.0	0.0
f__Mycobacteriaceae	148.528019	0.0	0.0	14.975817	105.849821	29.551586	0.0	5.3883886	0.0	209.7833	0.0	261.6042895	26.5027445	60.487354	32.844904	66.14103349999999	160.99860460000002	39.876896	0.0	0.0	224.974296	62.8573
f__Sphingomonadaceae	0.0	13.148789	0.0	0.0	13.7877144	0.0	0.0	0.0	0.0	3.7445621	4.5637684	0.0	7.6365342	0.0	254.19024	15.6199871	0.0	9.429679	0.0	0.0	0.0	6.4984927
f__Rhodobacteraceae	0.0	26.2798277	0.0	13.4110725	3.7899156	27.96796	10.757763	0.0	9.788014	26.68799	0.0	0.0	0.0	16.120644	5.925919	9.827922	0.0	3.9473672	23.723633	0.0	14.252406	0.0
f__Bacteroidaceae	0.0	0.0	0.0	43.067767	4.903226	36.7541003	0.0	36.90686	0.0	57.06549199999999	0.0	0.0	0.0	43.7230345	0.0	0.0	8.2011752	0.0	0.0	7.08003	5.967759	14.776865
f__Desulfatiglandaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5336165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Neisseriaceae	0.0	0.0	0.0	0.0	0.0	7.766638	0.0	17.491877000000002	0.0	5.15076	0.0	0.0	0.0	8.38218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Saprospiraceae	7.3850527	24.368097	0.0	0.0	7.3468466	0.0	0.0	0.0	0.0	7.92925	7.858313	0.0	0.0	0.0	9.535238	2.4722319	8.667439	40.336676	150.427163	0.0	0.0	22.965528
f__Sulfurospirillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.092995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.641061	0.0	0.0	0.0	0.0	0.0
f__Lachnospiraceae	0.0	0.0	0.0	5.9221215	0.0	32.339576	0.0	45.793146	0.0	6.0807347	0.0	0.0	0.0	5.8753138	0.0	4.0793495	0.0	0.0	0.0	7.5782776	0.0	0.0
f__UBA4820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.436751	0.0
f__JADIYW01	0.0	22.315086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.267374	3.3995066	0.0	0.0
f__Weeksellaceae	0.0	0.0	0.0	13.301011	0.0	0.0	0.0	22.307486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__CAG-138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8992724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Aeromonadaceae	0.0	0.0	0.0	42.03565	0.0	0.0	0.0	0.0	0.0	47.831646	0.0	0.0	0.0	108.66003	0.0	0.0	13.094265	0.0	0.0	0.0	0.0	35.846867
f__Microbacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.601441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Microtrichaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.177505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Moraxellaceae	0.0	0.0	0.0	5.09817	0.0	0.0	0.0	50.863375000000005	0.0	26.932991	0.0	0.0	19.141308	13.418223	0.0	0.0	6.996532	2.984412	0.0	0.0	0.0	16.938944
f__Gallionellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.461982	0.0	0.0
f__Saccharofermentanaceae	3.7862039	0.0	0.0	14.906801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.215249	0.0
f__JAEUJZ01	0.0	0.0	8.560342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Thiotrichaceae	0.0	75.19265999999999	0.0	0.0	990.073318	6.265927	0.0	4.0772166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1016164	0.0	0.0	37.411287	0.0	0.0
f__Dethiosulfovibrionaceae	0.0	0.0	0.0	0.0	0.0	4.658987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Halieaceae	0.0	0.0	0.0	0.0	0.0	0.0	37.685028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Ruminococcaceae	4.5205793	0.0	0.0	4.128931	0.0	6.831798	0.0	0.0	10.0843678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Sedimenticolaceae	6.245522	0.0	0.0	0.0	0.0	8.064209	31.211086	0.0	0.0	18.166365	19.60854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Hyphomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	11.2855425	0.0	0.0	0.0	0.0	9.572015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Aquaspirillaceae	0.0	0.0	0.0	0.0	0.0	4.29158	0.0	16.581789	0.0	0.0	0.0	0.0	3.5879507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__DSM-18226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5711913	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Oscillospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.477645	0.0
f__Competibacteraceae	0.0	89.36404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.452606	20.829397	0.0	0.0	0.0	0.0	10.989085	0.0	0.0	0.0	0.0	0.0	0.0
f__UBA7239	0.0	0.0	6.4848514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Tannerellaceae	0.0	0.0	0.0	8.729218	0.0	0.0	0.0	36.321274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.347802	0.0	0.0	0.0	0.0	0.0	0.0
f__Pasteurellaceae	0.0	0.0	0.0	0.0	0.0	10.084274	0.0	0.0	0.0	9.40691	0.0	0.0	0.0	17.4023708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Pseudomonadaceae	0.0	0.0	0.0	25.978107	0.0	0.0	0.0	0.0	0.0	15.488776	0.0	2.779505	0.0	0.0	0.0	0.0	66.4730665	0.0	0.0	0.0	0.0	0.0
f__Paenibacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.447721	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Tenuifilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.99359	0.0	0.0	0.0	0.0	33.243294	0.0
f__Aestuariivirgaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.053468	0.0	0.0	0.0	0.0	6.1258783	0.0	0.0	0.0
f__Planctomycetaceae	0.0	9.381433	0.0	0.0	8.485718299999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1996756	0.0	0.0
f__Acutalibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.808217	0.0
f__CAIVKH01	0.0	0.0	0.0	0.0	0.0	0.0	5.2971888	0.0	0.0	0.0	4.234745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Chitinibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Promineofilaceae	3.7114046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.97746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__JAAEPA01	0.0	0.0	0.0	0.0	0.0	7.5555086	9.8326235	0.0	21.479797	0.0	0.0	9.340178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Acidaminococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9060807	0.0	0.0	0.0	0.0	0.0	3.6314921	0.0	0.0
f__CAG-74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.527125	0.0	0.0	0.0	0.0	0.0	0.0
f__B-17BO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.701473	0.0	0.0	0.0	0.0
f__Nannocystaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1046734	0.0	0.0	0.0	3.2481203	0.0	0.0	0.0
f__OLB10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.104755	0.0	0.0
f__Methanofastidiosaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8007803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Vibrionaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.755556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Parvicellaceae	6.2262707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.471271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Chromatiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.197676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.013726	0.0
f__Nitrosomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0142345	0.0	0.0	0.0	5.073131	21.66713	0.0	0.0	0.0	6.7635493
f__Selenomonadaceae	0.0	0.0	0.0	14.903399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.070822	0.0	0.0	3.776164	0.0	0.0	0.0	0.0	0.0
f__Anaerovoracaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7175214	0.0	0.0	0.0	0.0	0.0	0.0
f__Rhizobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.448263	0.0	0.0	0.0	0.0
f__UBA1924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2199721
f__Xanthomonadaceae	6.479774	5.257082	0.0	7.9781895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.525698	0.0	0.0	0.0	0.0
f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.801218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__GCA-2729495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.351732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Nocardioidaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.294443	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__SURF-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3142014	0.0	0.0	0.0	0.0	0.0	0.0
f__Sandaracinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4987903	0.0	0.0	0.0
f__Ilumatobacteraceae	0.0	15.9623995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Fibrobacteraceae	0.0	0.0	0.0	0.0	0.0	8.6205376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Anaerolineaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.186205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__DEV007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7950363	4.2404833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Kosmotogaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.7235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
