Gene	TP-EFF_580007-checked-ARG-host_cov_col_4	YL-AS_578825-checked-ARG-host_cov_col_4	SWH-AS_577324-checked-ARG-host_cov_col_4	SWH-IN_578335-checked-ARG-host_cov_col_4	YL-EFF_579475-checked-ARG-host_cov_col_4	ST-IN_577286-checked-ARG-host_cov_col_4	ST-AS_578410-checked-ARG-host_cov_col_4	SK-IN_578754-checked-ARG-host_cov_col_4	ST-ADS_579814-checked-ARG-host_cov_col_4	TP-IN_577697-checked-ARG-host_cov_col_4	TP-AS_578565-checked-ARG-host_cov_col_4	ST-EEF_579967-checked-ARG-host_cov_col_4	SWH-EFF_579360-checked-ARG-host_cov_col_4	YL-IN_577304-ARG-host_cov_col_4	SK-EFF_577737-checked-ARG-host_cov_col_4	SWH-ADS_577436-checked-ARG-host_cov_col_4	STL-EFF_577476-checked-ARG-host_cov_col_4	STL-AS_579739-checked-ARG-host_cov_col_4	SK-AS_579852-checked-ARG-host_cov_col_4	YL-ADS_577288-checked-ARG-host_cov_col_4	TP-ADS_743148-checked-ARG-host_cov_col_4	STL-IN_578603-checked-ARG-host_cov_col_4
p__Pseudomonadota	45.3761052	274.4461953	25.428980399999997	180.532031	1065.624761	100.0214716	134.4367884	175.168336	69.318871	239.5325454	130.6691641	44.5622971	70.2938596	226.15966280000004	304.96545690000005	80.9191509	198.4478087	102.1742176	197.6101861	132.976386	46.598735	172.19075449999997
p__Actinomycetota	148.528019	15.9623995	0.0	14.975817	105.849821	29.551586	0.0	27.1896066	0.0	209.7833	0.0	274.2057305	26.5027445	158.664859	47.139347	66.14103349999999	160.99860460000002	39.876896	0.0	0.0	224.974296	62.8573
p__Bacteroidota	19.0598841	46.683183	0.0	65.097996	92.1472746	36.7541003	0.0	95.53562	0.0	64.994742	16.329584	0.0	0.0	43.7230345	9.535238	116.9039585	21.5470032	57.038149	162.694537	87.0300776	39.211053	45.176444
p__Desulfobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5336165	0.0	0.0	0.0	0.0	0.0	0.0	5.1256504	0.0	0.0	0.0	0.0	0.0	0.0
p__Campylobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.092995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.641061	0.0	0.0	0.0	0.0	0.0
p__Bacillota_A	8.3067832	0.0	0.0	24.9578535	0.0	39.171374	0.0	62.736051	14.9836402	6.0807347	0.0	0.0	0.0	5.8753138	0.0	19.8485225	0.0	0.0	0.0	7.5782776	32.501111	0.0
p__Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.436751	0.0
p__Myxococcota	4.7015767	0.0	8.560342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.999629800000001	0.0	0.0	0.0	10.7469106	0.0	0.0	0.0
p__Verrucomicrobiota	0.0	0.0	0.0	0.0	0.0	0.0	5.2971888	0.0	0.0	3.7950363	8.475228300000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p__Bacillota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.535048	0.0	0.0	0.0	79.326485	42.700459300000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p__Planctomycetota	0.0	9.381433	0.0	0.0	8.485718299999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8328713	0.0	0.0	0.0	5.1996756	0.0	3.2199721
p__Synergistota	0.0	0.0	0.0	0.0	0.0	4.658987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p__Bacillota_C	0.0	0.0	0.0	14.903399	0.0	0.0	0.0	30.88196	0.0	0.0	0.0	0.0	0.0	14.9769027	0.0	0.0	3.776164	0.0	0.0	3.6314921	0.0	0.0
p__Chloroflexota	3.7114046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.163665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
