Gene	TP-EFF_580007-checked-ARG-host_cov_col_6	YL-AS_578825-checked-ARG-host_cov_col_6	SWH-AS_577324-checked-ARG-host_cov_col_6	SWH-IN_578335-checked-ARG-host_cov_col_6	YL-EFF_579475-checked-ARG-host_cov_col_6	ST-IN_577286-checked-ARG-host_cov_col_6	ST-AS_578410-checked-ARG-host_cov_col_6	SK-IN_578754-checked-ARG-host_cov_col_6	ST-ADS_579814-checked-ARG-host_cov_col_6	TP-IN_577697-checked-ARG-host_cov_col_6	TP-AS_578565-checked-ARG-host_cov_col_6	ST-EEF_579967-checked-ARG-host_cov_col_6	SWH-EFF_579360-checked-ARG-host_cov_col_6	YL-IN_577304-ARG-host_cov_col_6	SK-EFF_577737-checked-ARG-host_cov_col_6	SWH-ADS_577436-checked-ARG-host_cov_col_6	STL-EFF_577476-checked-ARG-host_cov_col_6	STL-AS_579739-checked-ARG-host_cov_col_6	SK-AS_579852-checked-ARG-host_cov_col_6	YL-ADS_577288-checked-ARG-host_cov_col_6	TP-ADS_743148-checked-ARG-host_cov_col_6	STL-IN_578603-checked-ARG-host_cov_col_6
c__Koll11	4.2544127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c__Fibrobacteria	0.0	0.0	0.0	0.0	0.0	8.6205376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c__Thermotogae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.7235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c__OLB16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3142014	0.0	0.0	0.0	0.0	0.0	0.0
c__Leptospirae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4154377	0.0	0.0	0.0	0.0
c__Syntrophomonadia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.113731	0.0	19.148507	0.0	0.0	0.0	4.0065956	0.0	0.0
c__Nitrospiria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4481	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c__Vampirovibrionia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3132343	0.0	0.0	0.0	0.0	0.0	0.0
c__UBA4802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.317213	0.0
c__Atribacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7983806	0.0	0.0	0.0	0.0	0.0	0.0
c__Syntrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1256504	0.0	0.0	0.0	0.0	0.0	0.0
