Gene	TP-EFF_580007-checked-ARG-host_cov_col_12	YL-AS_578825-checked-ARG-host_cov_col_12	SWH-AS_577324-checked-ARG-host_cov_col_12	SWH-IN_578335-checked-ARG-host_cov_col_12	YL-EFF_579475-checked-ARG-host_cov_col_12	ST-IN_577286-checked-ARG-host_cov_col_12	ST-AS_578410-checked-ARG-host_cov_col_12	SK-IN_578754-checked-ARG-host_cov_col_12	ST-ADS_579814-checked-ARG-host_cov_col_12	TP-IN_577697-checked-ARG-host_cov_col_12	TP-AS_578565-checked-ARG-host_cov_col_12	ST-EEF_579967-checked-ARG-host_cov_col_12	SWH-EFF_579360-checked-ARG-host_cov_col_12	YL-IN_577304-ARG-host_cov_col_12	SK-EFF_577737-checked-ARG-host_cov_col_12	SWH-ADS_577436-checked-ARG-host_cov_col_12	STL-EFF_577476-checked-ARG-host_cov_col_12	STL-AS_579739-checked-ARG-host_cov_col_12	SK-AS_579852-checked-ARG-host_cov_col_12	YL-ADS_577288-checked-ARG-host_cov_col_12	TP-ADS_743148-checked-ARG-host_cov_col_12	STL-IN_578603-checked-ARG-host_cov_col_12
g__JACKOD01	3.1667032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Ottowia	15.986609	40.087385999999995	0.0	0.0	0.0	18.645808	28.041874999999997	18.534418	38.05106	19.20439	21.60578	3.5803087	0.0	30.117565	20.6427677	13.428296	10.999825	0.0	52.8444403	45.24481	24.332603	0.0
g__AWTP1-18	0.0	0.0	8.798687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.134937	0.0	0.0	0.0	8.13019	0.0	0.0	0.0
g__Mycobacterium	148.528019	0.0	0.0	14.975817	105.849821	0.0	0.0	5.3883886	0.0	209.7833	0.0	203.262021	22.64447	60.487354	32.844904	66.14103349999999	160.99860460000002	39.876896	0.0	0.0	224.974296	62.8573
g__Sphingobium	0.0	13.148789	0.0	0.0	13.7877144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3594804	0.0	254.19024	8.385435	0.0	9.429679	0.0	0.0	0.0	6.4984927
g__Paracoccus	0.0	0.0	0.0	0.0	0.0	27.96796	0.0	0.0	9.788014	26.68799	0.0	0.0	0.0	0.0	0.0	5.8472	0.0	0.0	0.0	0.0	14.252406	0.0
g__Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.90686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9637537	0.0	0.0	3.3689475	0.0	0.0
g__JAFGMQ01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5336165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Neisseria	0.0	0.0	0.0	0.0	0.0	7.766638	0.0	17.491877000000002	0.0	5.15076	0.0	0.0	0.0	8.38218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__OLB8	7.3850527	24.368097	0.0	0.0	7.3468466	0.0	0.0	0.0	0.0	7.92925	7.858313	0.0	0.0	0.0	9.535238	0.0	8.667439	40.336676	134.22235	0.0	0.0	0.0
g__Phocaeicola	0.0	0.0	0.0	26.771317	0.0	0.0	0.0	0.0	0.0	36.573902	0.0	0.0	0.0	13.6310625	0.0	0.0	5.2374215	0.0	0.0	0.0	0.0	4.604747
g__JAABQG01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2137437	14.322906	0.0	0.0	15.168809	0.0	0.0	0.0
g__Sulfurospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.092995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.641061	0.0	0.0	0.0	0.0	0.0
g__Rubrivivax_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.526756	8.351792	0.0	11.467354	0.0	0.0	28.376158
g__JAGPKJ01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5782776	0.0	0.0
g__	2.0995991	0.0	0.0	0.0	0.0	37.8979533	0.0	4.0772166	4.8992724	0.0	0.0	0.0	0.0	0.0	0.0	1.8328713	20.6316843	0.0	12.764639	0.0	12.450477	0.0
g__JADJSS01	0.0	22.315086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.267374	3.3995066	0.0	0.0
g__JAHBZM01	0.0	0.0	10.145442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.940106	10.0128975	0.0	0.0	0.0
g__Epilithonimonas	0.0	0.0	0.0	13.301011	0.0	0.0	0.0	9.309051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Rhodococcus	0.0	0.0	0.0	0.0	0.0	29.551586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Albidovulum	0.0	18.843988	0.0	0.0	3.7899156	0.0	10.757763	0.0	0.0	0.0	0.0	0.0	0.0	16.120644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Brachymonas	0.0	0.0	0.0	15.826567	0.0	9.379567	0.0	30.3716924	0.0	6.847581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.005771
g__Aeromonas	0.0	0.0	0.0	42.03565	0.0	0.0	0.0	0.0	0.0	47.831646	0.0	0.0	0.0	108.66003	0.0	0.0	13.094265	0.0	0.0	0.0	0.0	35.846867
g__Nocardia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.79498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Giesbergeria	0.0	0.0	0.0	28.090355	19.411209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.027552	16.273302	6.040316	6.8159914	0.0	0.0	0.0	21.811094	0.0	6.7394385
g__AWTP1-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.177505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__JAGLBJ01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.996532	2.984412	0.0	0.0	0.0	0.0
g__Nitrotoga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.461982	0.0	0.0
g__Saccharofermentans	3.7862039	0.0	0.0	14.906801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.215249	0.0
g__Comamonas_C	0.0	12.658636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.047213	0.0	0.0
g__JAGNNG01	0.0	0.0	8.560342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Thiolinea	0.0	40.368727	0.0	0.0	970.49967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.411287	0.0	0.0
g__Dethiosulfovibrio	0.0	0.0	0.0	0.0	0.0	4.658987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Halioglobus	0.0	0.0	0.0	0.0	0.0	0.0	37.685028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__UMGS1668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9715834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Hydrogenophaga	5.361071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0962086	6.2443314	3.9758682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Gordonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.5472885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Rivicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5879507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Pelomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.687798	0.0	0.0	0.0	8.218984
g__CAISIP01	0.0	6.5814366	0.0	0.0	0.0	0.0	5.6228704	0.0	0.0	0.0	6.3620687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.384353	0.0	0.0	0.0
g__UBA2658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.477645	0.0
g__JAEXNS01	4.5205793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__UBA7239	0.0	0.0	6.4848514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Macellibacteroides	0.0	0.0	0.0	8.729218	0.0	0.0	0.0	36.321274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__JADJWY01	3.8173895	0.0	0.0	0.0	13.806947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Mannheimia	0.0	0.0	0.0	0.0	0.0	10.084274	0.0	0.0	0.0	9.40691	0.0	0.0	0.0	5.9611278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__41T-STBD-0c-01a	6.245522	0.0	0.0	0.0	0.0	0.0	31.211086	0.0	0.0	18.166365	19.60854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1127844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Microbacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.601441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.141308	13.418223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__UBA1064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.99359	0.0	0.0	0.0	0.0	33.243294	0.0
g__Pseudomonas_E	0.0	0.0	0.0	25.978107	0.0	0.0	0.0	0.0	0.0	15.488776	0.0	2.779505	0.0	0.0	0.0	0.0	66.4730665	0.0	0.0	0.0	0.0	0.0
g__TMP-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9473672	0.0	0.0	0.0	0.0
g__UBA3362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4722319	0.0	0.0	16.204813	0.0	0.0	22.965528
g__DTU089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.808217	0.0
g__Acidovorax_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.705318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.208214
g__Plasticicumulans	0.0	89.36404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__SXXK01	0.0	9.381433	0.0	0.0	5.0568686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1996756	0.0	0.0
g__Bacteroides	0.0	0.0	0.0	16.29645	0.0	5.4087653	0.0	0.0	0.0	20.49159	0.0	0.0	0.0	7.622924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__JAEUMD01	0.0	0.0	0.0	0.0	0.0	0.0	11.2855425	0.0	0.0	0.0	0.0	9.572015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Thauera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.70822	5.756437	15.6220255	0.0	0.0	0.0	0.0	0.0	11.876775	0.0	0.0	0.0
g__Alicycliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.73188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.594336
g__Neobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5711913	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Limiplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.527125	0.0	0.0	0.0	0.0	0.0	0.0
g__UBA2475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.701473	0.0	0.0	0.0	0.0
g__Bacteroides_I	0.0	0.0	0.0	0.0	4.903226	31.345335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.469048	0.0	0.0	0.0	0.0	0.0	3.7110825	5.967759	10.172118
g__Thiothrix	0.0	34.823933	0.0	0.0	19.573648	6.265927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1016164	0.0	0.0	0.0	0.0	0.0
g__Laribacter	0.0	0.0	0.0	0.0	0.0	4.29158	0.0	16.581789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__JACKPT01	0.0	0.0	0.0	0.0	0.0	0.0	5.2971888	0.0	0.0	0.0	4.234745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Formivibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__JAMLHW01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.97746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__JACKKV01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7445621	4.5637684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Nitrosomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0142345	0.0	0.0	0.0	5.073131	21.66713	0.0	0.0	0.0	6.7635493
g__Paenibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.447721	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Lentihominibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7175214	0.0	0.0	0.0	0.0	0.0	0.0
g__JADJTR01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.448263	0.0	0.0	0.0	0.0
g__Ruminococcus_D	0.0	0.0	0.0	4.128931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
